,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
25,25,2025-12-10,,PHO,W,138,89,,52,88,.591,22,40,.550,30,48,.625,.716,12,13,.923,6,37,43,32,14,7,15,14,33,84,.393,10,31,.323,23,53,.434,.452,13,16,.813,7,30,37,24,12,2,21,13
26,26,2025-12-13,,SAS,L,109,111,,38,92,.413,9,37,.243,29,55,.527,.462,24,27,.889,14,37,51,20,13,4,15,25,37,90,.411,13,42,.310,24,48,.500,.483,24,32,.750,15,37,52,21,9,6,19,23
27,27,2025-12-18,,LAC,W,122,101,,48,101,.475,13,36,.361,35,65,.538,.540,13,16,.813,9,29,38,28,18,4,9,19,37,76,.487,10,32,.313,27,44,.614,.553,17,22,.773,9,40,49,25,6,7,29,17
28,28,2025-12-19,@,MIN,L,107,112,,34,92,.370,11,39,.282,23,53,.434,.429,28,30,.933,13,39,52,16,7,10,12,30,33,88,.375,13,37,.351,20,51,.392,.449,33,47,.702,18,39,57,20,8,6,13,24
29,29,2025-12-22,,MEM,W,119,103,,46,94,.489,15,39,.385,31,55,.564,.569,12,14,.857,9,37,46,20,14,4,13,18,34,83,.410,18,41,.439,16,42,.381,.518,17,23,.739,10,36,46,26,8,5,23,14
30,30,2025-12-23,@,SAS,L,110,130,,46,85,.541,12,30,.400,34,55,.618,.612,6,7,.857,9,27,36,23,5,1,15,17,48,84,.571,16,36,.444,32,48,.667,.667,18,24,.750,10,24,34,34,10,3,9,13
31,31,2025-12-25,,SAS,L,102,117,,37,95,.389,11,44,.250,26,51,.510,.447,17,25,.680,16,32,48,23,7,6,7,18,45,84,.536,11,29,.379,34,55,.618,.601,16,21,.762,10,39,49,20,3,4,13,16
32,32,2025-12-28,,PHI,W,129,104,,50,87,.575,10,28,.357,40,59,.678,.632,19,25,.760,9,26,35,27,12,6,14,18,35,83,.422,17,43,.395,18,40,.450,.524,17,21,.810,13,25,38,21,5,5,23,22
33,33,2025-12-29,,ATL,W,140,129,,53,98,.541,12,32,.375,41,66,.621,.602,22,23,.957,10,39,49,27,9,7,14,18,46,97,.474,25,54,.463,21,43,.488,.603,12,17,.706,10,28,38,32,11,4,16,20
34,34,2025-12-31,,POR,W,124,95,,44,90,.489,16,49,.327,28,41,.683,.578,20,26,.769,5,36,41,29,15,10,15,18,34,87,.391,14,35,.400,20,52,.385,.471,13,17,.765,12,38,50,20,10,3,25,21
35,35,2026-01-02,@,GSW,W,131,94,,48,92,.522,16,38,.421,32,54,.593,.609,19,19,1.000,9,42,51,34,10,5,14,21,32,90,.356,13,44,.295,19,46,.413,.428,17,23,.739,14,29,43,23,8,5,17,18
36,36,2026-01-04,@,PHO,L,105,108,,39,82,.476,10,32,.313,29,50,.580,.537,17,19,.895,2,27,29,20,2,4,9,20,35,79,.443,17,43,.395,18,36,.500,.551,21,29,.724,12,37,49,21,2,1,16,23
37,37,2026-01-05,,CHO,L,97,124,,34,93,.366,11,39,.282,23,54,.426,.425,18,27,.667,13,20,33,18,14,5,8,14,41,77,.532,19,37,.514,22,40,.550,.656,23,25,.920,12,40,52,25,4,7,21,23
38,38,2026-01-07,,UTA,W,129,125,OT,44,101,.436,7,38,.184,37,63,.587,.470,34,42,.810,12,39,51,26,14,11,11,21,49,111,.441,11,41,.268,38,70,.543,.491,16,21,.762,19,46,65,33,8,5,20,31
39,39,2026-01-09,@,MEM,W,117,116,,43,91,.473,9,37,.243,34,54,.630,.522,22,28,.786,10,26,36,24,9,8,6,22,41,88,.466,14,41,.341,27,47,.574,.545,20,24,.833,15,37,52,35,4,4,17,26
40,40,2026-01-11,,MIA,W,124,112,,47,93,.505,10,34,.294,37,59,.627,.559,20,28,.714,14,32,46,23,12,5,13,18,44,82,.537,17,32,.531,27,50,.540,.640,7,13,.538,5,32,37,35,9,4,23,24
41,41,2026-01-13,,SAS,W,119,98,,42,81,.519,11,30,.367,31,51,.608,.586,24,27,.889,5,38,43,26,7,11,11,23,34,85,.400,13,37,.351,21,48,.438,.476,17,24,.708,12,30,42,21,4,3,12,25
42,42,2026-01-15,@,HOU,W,111,91,,41,89,.461,16,41,.390,25,48,.521,.551,13,15,.867,7,37,44,25,9,12,12,16,35,104,.337,7,24,.292,28,80,.350,.370,14,17,.824,23,37,60,17,10,7,16,12
43,43,2026-01-17,@,MIA,L,120,122,,42,77,.545,13,29,.448,29,48,.604,.630,23,28,.821,5,41,46,23,3,6,15,19,41,111,.369,20,50,.400,21,61,.344,.459,20,28,.714,21,30,51,30,7,4,4,21
44,44,2026-01-19,@,CLE,W,136,104,,50,90,.556,23,47,.489,27,43,.628,.683,13,20,.650,6,32,38,32,11,6,13,24,34,91,.374,8,35,.229,26,56,.464,.418,28,35,.800,19,35,54,20,8,5,21,21
45,45,2026-01-21,@,MIL,W,122,102,,49,90,.544,14,36,.389,35,54,.648,.622,10,15,.667,7,35,42,24,12,3,8,11,40,81,.494,16,41,.390,24,40,.600,.593,6,9,.667,5,34,39,30,6,0,16,19
46,46,2026-01-23,,IND,L,114,117,,40,82,.488,7,26,.269,33,56,.589,.530,27,30,.900,4,37,41,18,4,8,9,22,45,96,.469,16,38,.421,29,58,.500,.552,11,20,.550,14,37,51,34,5,1,11,24
47,47,2026-01-25,,TOR,L,101,103,,33,75,.440,11,43,.256,22,32,.688,.513,24,31,.774,5,32,37,21,5,5,11,17,37,86,.430,12,34,.353,25,52,.481,.500,17,26,.654,12,39,51,28,10,6,11,22
48,48,2026-01-27,,NOP,W,104,95,,35,87,.402,13,38,.342,22,49,.449,.477,21,23,.913,13,40,53,25,4,9,16,15,34,99,.343,10,40,.250,24,59,.407,.394,17,22,.773,21,33,54,25,13,11,9,21
49,49,2026-01-29,@,MIN,L,111,123,,41,86,.477,11,31,.355,30,55,.545,.541,18,20,.900,11,25,36,27,11,5,16,15,45,89,.506,22,47,.468,23,42,.548,.629,11,18,.611,15,31,46,26,12,7,20,21
50,50,2026-02-01,@,DEN,W,121,111,,40,85,.471,19,48,.396,21,37,.568,.582,22,27,.815,12,27,39,23,12,6,13,21,39,79,.494,16,35,.457,23,44,.523,.595,17,24,.708,8,31,39,29,9,4,18,20
51,51,2026-02-03,,ORL,W,128,92,,48,93,.516,12,35,.343,36,58,.621,.581,20,26,.769,14,38,52,33,12,1,11,15,34,89,.382,13,41,.317,21,48,.438,.455,11,11,1.000,10,28,38,21,5,5,16,24
52,52,2026-02-04,@,SAS,L,106,116,,37,93,.398,19,47,.404,18,46,.391,.500,13,14,.929,9,37,46,26,10,9,14,16,45,101,.446,14,42,.333,31,59,.525,.515,12,20,.600,18,45,63,26,11,8,14,15
53,53,2026-02-07,,HOU,L,106,112,,37,82,.451,14,36,.389,23,46,.500,.537,18,28,.643,13,29,42,25,10,2,17,20,38,83,.458,15,43,.349,23,40,.575,.548,21,28,.750,10,31,41,25,12,5,15,23
54,54,2026-02-09,@,LAL,W,119,110,,42,87,.483,14,33,.424,28,54,.519,.563,21,29,.724,14,31,45,23,12,4,16,19,42,84,.500,10,31,.323,32,53,.604,.560,16,23,.696,9,28,37,25,7,2,15,21
55,55,2026-02-11,@,PHO,W,136,109,,52,89,.584,15,36,.417,37,53,.698,.669,17,19,.895,8,29,37,28,6,3,8,8,43,92,.467,15,42,.357,28,50,.560,.549,8,13,.615,15,28,43,26,4,5,12,12
56,56,2026-02-12,,MIL,L,93,110,,31,83,.373,15,45,.333,16,38,.421,.464,16,20,.800,14,33,47,22,3,6,16,8,44,95,.463,17,42,.405,27,53,.509,.553,5,7,.714,15,34,49,25,9,6,11,17
57,57,2026-02-20,,BRK,W,105,86,,35,83,.422,13,35,.371,22,48,.458,.500,22,25,.880,13,34,47,22,11,4,19,19,29,79,.367,7,41,.171,22,38,.579,.411,21,26,.808,10,30,40,19,11,7,21,23
58,58,2026-02-22,,CLE,W,121,113,,42,86,.488,21,41,.512,21,45,.467,.610,16,25,.640,13,31,44,32,12,4,16,19,43,89,.483,13,39,.333,30,50,.600,.556,14,19,.737,12,32,44,28,9,3,17,22
59,59,2026-02-24,@,TOR,W,116,107,,45,95,.474,16,40,.400,29,55,.527,.558,10,12,.833,12,37,49,26,10,5,19,19,41,88,.466,18,38,.474,23,50,.460,.568,7,12,.583,7,27,34,30,10,8,16,22
60,60,2026-02-25,@,DET,L,116,124,,39,96,.406,18,49,.367,21,47,.447,.500,20,21,.952,12,25,37,28,7,3,14,20,48,89,.539,9,27,.333,39,62,.629,.590,19,26,.731,16,36,52,29,9,12,17,21
61,61,2026-02-27,,DEN,W,127,121,OT,46,99,.465,12,35,.343,34,64,.531,.525,23,27,.852,8,48,56,29,14,10,12,16,43,103,.417,18,48,.375,25,55,.455,.505,17,22,.773,11,40,51,27,10,6,18,22
62,62,2026-03-01,@,DAL,W,100,87,,41,92,.446,8,39,.205,33,53,.623,.489,10,15,.667,7,39,46,22,9,8,9,17,33,85,.388,9,31,.290,24,54,.444,.441,12,16,.750,9,40,49,20,6,1,17,18
63,63,2026-03-03,@,CHI,W,116,108,,43,99,.434,10,42,.238,33,57,.579,.485,20,24,.833,12,39,51,23,10,3,9,13,39,90,.433,17,49,.347,22,41,.537,.528,13,19,.684,10,43,53,27,3,3,19,22
64,64,2026-03-04,@,NYK,W,103,100,,33,73,.452,16,42,.381,17,31,.548,.562,21,25,.840,3,35,38,21,8,0,16,22,37,88,.420,10,35,.286,27,53,.509,.477,16,22,.727,12,36,48,23,5,3,14,24
65,65,2026-03-07,,GSW,W,104,97,,33,78,.423,15,42,.357,18,36,.500,.519,23,24,.958,7,35,42,24,7,1,14,18,36,88,.409,14,45,.311,22,43,.512,.489,11,18,.611,15,32,47,28,8,3,13,18
