,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
54,54,2026-02-07,,CHO,L,119,126,,43,88,.489,18,37,.486,25,51,.490,.591,15,17,.882,5,25,30,30,9,6,10,20,46,95,.484,18,39,.462,28,56,.500,.579,16,16,1.000,16,33,49,31,5,3,16,16
55,55,2026-02-09,@,MIN,L,116,138,,40,99,.404,14,45,.311,26,54,.481,.475,22,28,.786,17,30,47,20,12,1,19,19,55,92,.598,16,42,.381,39,50,.780,.685,12,21,.571,7,34,41,36,10,9,15,19
56,56,2026-02-11,@,CHO,L,107,110,,37,84,.440,10,36,.278,27,48,.563,.500,23,30,.767,8,33,41,28,8,6,13,21,33,88,.375,19,51,.373,14,37,.378,.483,25,29,.862,15,35,50,21,10,6,16,23
57,57,2026-02-19,@,PHI,W,117,107,,38,89,.427,10,32,.313,28,57,.491,.483,31,40,.775,14,37,51,24,11,5,14,23,33,86,.384,11,33,.333,22,53,.415,.448,30,37,.811,12,34,46,17,9,13,16,27
58,58,2026-02-20,,MIA,L,97,128,,36,95,.379,16,38,.421,20,57,.351,.463,9,15,.600,12,34,46,26,4,3,13,16,52,100,.520,13,35,.371,39,65,.600,.585,11,14,.786,11,47,58,31,8,4,9,21
59,59,2026-02-22,,BRK,W,115,104,,42,87,.483,13,33,.394,29,54,.537,.557,18,21,.857,15,37,52,28,10,4,17,16,38,85,.447,12,34,.353,26,51,.510,.518,16,22,.727,9,25,34,29,9,4,13,18
60,60,2026-02-24,,WAS,W,119,98,,42,107,.393,12,50,.240,30,57,.526,.449,23,26,.885,19,42,61,33,14,2,11,18,37,84,.440,10,31,.323,27,53,.509,.500,14,17,.824,2,39,41,23,9,8,20,19
61,61,2026-02-26,,WAS,W,126,96,,42,91,.462,13,39,.333,29,52,.558,.533,29,37,.784,11,45,56,30,12,8,14,17,36,94,.383,9,33,.273,27,61,.443,.431,15,16,.938,11,33,44,17,7,3,14,22
62,62,2026-03-01,,POR,W,135,101,,51,92,.554,15,40,.375,36,52,.692,.636,18,23,.783,13,41,54,36,10,5,15,25,35,87,.402,13,37,.351,22,50,.440,.477,18,26,.692,9,29,38,23,5,6,17,15
63,63,2026-03-04,@,MIL,W,131,113,,50,92,.543,20,45,.444,30,47,.638,.652,11,16,.688,11,29,40,33,9,7,11,17,43,86,.500,13,39,.333,30,47,.638,.576,14,20,.700,12,29,41,27,8,2,15,15
64,64,2026-03-07,,PHI,W,125,116,,46,83,.554,13,32,.406,33,51,.647,.633,20,25,.800,12,27,39,32,11,2,21,18,47,86,.547,10,26,.385,37,60,.617,.605,12,18,.667,10,26,36,27,10,4,21,20
