,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
25,25,2025-12-12,,UTA,L,126,130,,46,99,.465,19,41,.463,27,58,.466,.561,15,21,.714,9,40,49,32,4,5,10,21,48,104,.462,17,47,.362,31,57,.544,.543,17,25,.680,14,44,58,33,6,4,13,23
26,26,2025-12-15,@,LAC,W,121,103,,45,86,.523,16,39,.410,29,47,.617,.616,15,17,.882,9,23,32,33,10,7,11,21,37,80,.463,13,36,.361,24,44,.545,.544,16,22,.727,13,26,39,26,4,2,19,15
27,27,2025-12-17,@,MIN,W,116,110,,42,96,.438,11,34,.324,31,62,.500,.495,21,25,.840,15,39,54,23,10,4,18,25,39,98,.398,13,44,.295,26,54,.481,.464,19,27,.704,16,36,52,26,11,8,18,25
28,28,2025-12-20,,WAS,L,122,130,,45,100,.450,16,44,.364,29,56,.518,.530,16,22,.727,19,29,48,31,7,3,14,19,47,99,.475,17,44,.386,30,55,.545,.561,19,26,.731,20,34,54,32,5,3,13,20
29,29,2025-12-22,@,OKC,L,103,119,,34,83,.410,18,41,.439,16,42,.381,.518,17,23,.739,10,36,46,26,8,5,23,14,46,94,.489,15,39,.385,31,55,.564,.569,12,14,.857,9,37,46,20,14,4,13,18
30,30,2025-12-23,@,UTA,W,137,128,,49,88,.557,19,45,.422,30,43,.698,.665,20,29,.690,8,33,41,41,10,8,15,23,40,90,.444,16,45,.356,24,45,.533,.533,32,36,.889,12,28,40,29,9,2,13,21
31,31,2025-12-26,,MIL,W,125,104,,43,85,.506,13,34,.382,30,51,.588,.582,26,32,.813,7,35,42,28,12,9,14,19,36,84,.429,14,39,.359,22,45,.489,.512,18,24,.750,15,33,48,18,11,2,22,25
32,32,2025-12-28,@,WAS,L,112,116,,43,103,.417,9,32,.281,34,71,.479,.461,17,21,.810,10,33,43,27,14,8,16,17,42,99,.424,8,33,.242,34,66,.515,.465,24,25,.960,15,39,54,26,9,12,19,21
33,33,2025-12-30,,PHI,L,136,139,OT,51,92,.554,11,29,.379,40,63,.635,.614,23,26,.885,9,42,51,28,2,10,20,18,51,111,.459,15,42,.357,36,69,.522,.527,22,27,.815,14,27,41,33,14,5,9,23
34,34,2026-01-02,@,LAL,L,121,128,,46,96,.479,14,42,.333,32,54,.593,.552,15,23,.652,8,26,34,32,10,2,15,20,45,77,.584,11,32,.344,34,45,.756,.656,27,31,.871,6,36,42,26,9,4,20,21
35,35,2026-01-04,@,LAL,L,114,120,,42,100,.420,10,41,.244,32,59,.542,.470,20,22,.909,16,31,47,29,6,1,9,31,38,80,.475,11,41,.268,27,39,.692,.544,33,41,.805,8,37,45,30,4,6,11,18
36,36,2026-01-06,,SAS,W,106,105,,39,98,.398,18,49,.367,21,49,.429,.490,10,15,.667,17,44,61,28,7,9,23,15,38,102,.373,14,46,.304,24,56,.429,.441,15,18,.833,13,37,50,26,9,4,14,18
37,37,2026-01-07,,PHO,L,98,117,,39,92,.424,12,37,.324,27,55,.491,.489,8,14,.571,15,32,47,23,9,2,18,11,45,97,.464,22,56,.393,23,41,.561,.577,5,8,.625,15,36,51,31,11,5,18,17
