,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
25,25,2025-12-11,@,NOP,L,120,143,,45,102,.441,14,48,.292,31,54,.574,.510,16,22,.727,13,28,41,27,5,7,15,19,58,112,.518,12,32,.375,46,80,.575,.571,15,17,.882,19,38,57,36,10,8,10,16
26,26,2025-12-14,,GSW,W,136,131,,45,89,.506,20,39,.513,25,50,.500,.618,26,29,.897,10,33,43,30,11,4,18,21,44,87,.506,24,47,.511,20,40,.500,.644,19,23,.826,8,28,36,34,14,5,18,24
27,27,2025-12-18,,SAC,W,134,133,OT,49,103,.476,15,45,.333,34,58,.586,.549,21,33,.636,17,27,44,30,6,6,21,27,48,94,.511,6,19,.316,42,75,.560,.543,31,34,.912,11,31,42,29,13,7,18,29
28,28,2025-12-20,@,SAC,W,98,93,,35,81,.432,11,32,.344,24,49,.490,.500,17,25,.680,10,36,46,18,12,3,20,20,33,87,.379,6,31,.194,27,56,.482,.414,21,31,.677,18,32,50,18,14,6,18,19
29,29,2025-12-22,,DET,L,102,110,,33,74,.446,7,32,.219,26,42,.619,.493,29,43,.674,9,29,38,21,6,6,19,22,44,101,.436,7,30,.233,37,71,.521,.470,15,24,.625,22,26,48,28,11,7,10,28
30,30,2025-12-23,,ORL,L,106,110,,41,87,.471,9,32,.281,32,55,.582,.523,15,19,.789,11,34,45,23,9,7,17,22,37,85,.435,15,33,.455,22,52,.423,.524,21,23,.913,10,28,38,26,10,5,15,21
31,31,2025-12-26,,LAC,L,103,119,,36,80,.450,16,39,.410,20,41,.488,.550,15,22,.682,13,30,43,23,6,2,15,20,35,69,.507,20,40,.500,15,29,.517,.652,29,31,.935,4,28,32,21,6,5,13,18
32,32,2025-12-28,,BOS,W,114,108,,42,89,.472,18,51,.353,24,38,.632,.573,12,21,.571,16,32,48,26,7,2,20,19,40,91,.440,13,44,.295,27,47,.574,.511,15,19,.789,12,27,39,19,13,5,19,23
33,33,2025-12-29,,DAL,W,125,122,,46,97,.474,16,41,.390,30,56,.536,.557,17,22,.773,17,31,48,27,3,3,16,24,46,91,.505,11,32,.344,35,59,.593,.566,19,24,.792,8,33,41,33,6,7,12,19
34,34,2025-12-31,@,OKC,L,95,124,,34,87,.391,14,35,.400,20,52,.385,.471,13,17,.765,12,38,50,20,10,3,25,21,44,90,.489,16,49,.327,28,41,.683,.578,20,26,.769,5,36,41,29,15,10,15,18
35,35,2026-01-02,@,NOP,W,122,109,,41,92,.446,16,47,.340,25,45,.556,.533,24,30,.800,19,27,46,27,6,7,9,17,44,98,.449,8,30,.267,36,68,.529,.490,13,18,.722,19,23,42,22,8,11,15,22
36,36,2026-01-03,@,SAS,W,115,110,,40,91,.440,19,45,.422,21,46,.457,.544,16,27,.593,15,36,51,24,3,4,11,16,40,93,.430,10,31,.323,30,62,.484,.484,20,23,.870,12,36,48,27,8,7,6,20
37,37,2026-01-05,,UTA,W,137,117,,49,93,.527,19,48,.396,30,45,.667,.629,20,21,.952,14,31,45,32,9,4,14,16,45,92,.489,13,31,.419,32,61,.525,.560,14,17,.824,14,28,42,32,11,2,15,19
38,38,2026-01-07,,HOU,W,103,102,,36,83,.434,12,40,.300,24,43,.558,.506,19,25,.760,6,32,38,21,7,3,14,21,37,99,.374,8,36,.222,29,63,.460,.414,20,29,.690,24,33,57,20,8,7,14,26
39,39,2026-01-09,,HOU,W,111,105,,37,89,.416,16,44,.364,21,45,.467,.506,21,23,.913,14,29,43,26,9,3,13,17,40,96,.417,10,44,.227,30,52,.577,.469,15,24,.625,22,34,56,21,8,8,13,17
40,40,2026-01-11,,NYK,L,114,123,,40,84,.476,12,39,.308,28,45,.622,.548,22,25,.880,7,32,39,24,9,6,15,8,50,99,.505,17,46,.370,33,53,.623,.591,6,8,.750,13,32,45,32,11,7,12,18
41,41,2026-01-13,@,GSW,L,97,119,,36,83,.434,14,47,.298,22,36,.611,.518,11,17,.647,8,37,45,20,7,3,22,16,42,89,.472,23,57,.404,19,32,.594,.601,12,13,.923,4,30,34,34,16,5,14,14
42,42,2026-01-15,,ATL,W,117,101,,43,95,.453,14,46,.304,29,49,.592,.526,17,24,.708,16,38,54,23,13,5,15,15,35,81,.432,14,44,.318,21,37,.568,.519,17,22,.773,7,33,40,23,10,4,20,19
43,43,2026-01-17,,LAL,W,132,116,,45,86,.523,16,42,.381,29,44,.659,.616,26,34,.765,12,30,42,24,9,5,15,17,42,85,.494,13,31,.419,29,54,.537,.571,19,21,.905,7,20,27,25,8,6,15,25
44,44,2026-01-18,@,SAC,W,117,110,,40,83,.482,8,32,.250,32,51,.627,.530,29,33,.879,11,32,43,18,7,4,15,18,42,86,.488,11,31,.355,31,55,.564,.552,15,18,.833,10,30,40,29,8,5,16,26
