,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
51,51,2026-02-02,,NOP,W,102,95,,34,85,.400,12,50,.240,22,35,.629,.471,22,27,.815,13,46,59,16,3,3,17,19,33,84,.393,11,34,.324,22,50,.440,.458,18,25,.720,5,29,34,23,9,4,8,23
52,52,2026-02-05,@,HOU,W,109,99,,36,87,.414,17,43,.395,19,44,.432,.511,20,22,.909,16,30,46,21,14,5,22,15,38,83,.458,8,23,.348,30,60,.500,.506,15,20,.750,12,28,40,24,17,5,18,16
53,53,2026-02-07,@,ATL,W,126,119,,46,95,.484,18,39,.462,28,56,.500,.579,16,16,1.000,16,33,49,31,5,3,16,16,43,88,.489,18,37,.486,25,51,.490,.591,15,17,.882,5,25,30,30,9,6,10,20
54,54,2026-02-09,,DET,L,104,110,,34,82,.415,19,47,.404,15,35,.429,.530,17,17,1.000,11,28,39,22,4,3,21,24,41,87,.471,5,25,.200,36,62,.581,.500,23,28,.821,14,27,41,20,12,3,10,20
55,55,2026-02-11,,ATL,W,110,107,,33,88,.375,19,51,.373,14,37,.378,.483,25,29,.862,15,35,50,21,10,6,16,23,37,84,.440,10,36,.278,27,48,.563,.500,23,30,.767,8,33,41,28,8,6,13,21
56,56,2026-02-19,,HOU,L,101,105,,36,84,.429,14,42,.333,22,42,.524,.512,15,18,.833,12,34,46,25,7,2,16,12,42,85,.494,9,32,.281,33,53,.623,.547,12,13,.923,8,31,39,19,15,8,11,15
57,57,2026-02-20,,CLE,L,113,118,,36,92,.391,20,56,.357,16,36,.444,.500,21,22,.955,23,22,45,26,5,4,14,23,41,77,.532,10,21,.476,31,56,.554,.597,26,28,.929,11,28,39,24,10,3,12,21
58,58,2026-02-22,@,WAS,W,129,112,,43,87,.494,25,46,.543,18,41,.439,.638,18,25,.720,16,37,53,27,9,5,12,17,41,84,.488,18,42,.429,23,42,.548,.595,12,17,.706,9,28,37,24,6,5,11,17
59,59,2026-02-24,@,CHI,W,131,99,,49,95,.516,25,57,.439,24,38,.632,.647,8,9,.889,14,32,46,31,13,8,17,14,35,82,.427,16,40,.400,19,42,.452,.524,13,15,.867,9,24,33,18,9,1,21,12
60,60,2026-02-26,@,IND,W,133,109,,48,86,.558,22,46,.478,26,40,.650,.686,15,19,.789,11,35,46,35,10,4,17,19,41,87,.471,11,35,.314,30,52,.577,.534,16,20,.800,12,25,37,28,7,3,12,15
61,61,2026-02-28,,POR,W,109,93,,38,91,.418,16,42,.381,22,49,.449,.505,17,25,.680,20,35,55,24,11,0,16,22,35,86,.407,11,47,.234,24,39,.615,.471,12,19,.632,11,28,39,22,8,7,17,19
62,62,2026-03-03,,DAL,W,117,90,,42,88,.477,20,51,.392,22,37,.595,.591,13,19,.684,13,36,49,32,11,7,15,31,28,74,.378,3,22,.136,25,52,.481,.399,31,42,.738,7,35,42,19,7,4,15,19
63,63,2026-03-04,@,BOS,W,118,89,,41,89,.461,19,49,.388,22,40,.550,.567,17,21,.810,11,32,43,26,10,4,5,19,30,79,.380,10,36,.278,20,43,.465,.443,19,20,.950,9,36,45,18,1,3,16,14
64,64,2026-03-06,,MIA,L,120,128,,41,96,.427,19,52,.365,22,44,.500,.526,19,20,.950,12,36,48,24,5,9,13,18,45,97,.464,18,38,.474,27,59,.458,.557,20,25,.800,11,33,44,31,7,5,6,14
65,65,2026-03-08,@,PHO,L,99,111,,37,88,.420,15,45,.333,22,43,.512,.506,10,15,.667,13,28,41,24,1,6,13,21,36,79,.456,16,41,.390,20,38,.526,.557,23,26,.885,10,30,40,24,5,5,8,17
66,66,2026-03-10,@,POR,W,103,101,,34,88,.386,14,38,.368,20,50,.400,.466,21,25,.840,16,36,52,21,12,4,17,20,35,83,.422,16,42,.381,19,41,.463,.518,15,18,.833,10,32,42,23,6,8,18,24
67,67,2026-03-11,@,SAC,W,117,109,,41,90,.456,19,40,.475,22,50,.440,.561,16,17,.941,13,28,41,29,8,1,16,12,45,83,.542,8,25,.320,37,58,.638,.590,11,14,.786,8,27,35,24,6,6,14,18
68,68,2026-03-14,@,SAS,L,102,115,,35,93,.376,18,54,.333,17,39,.436,.473,14,17,.824,11,28,39,18,7,10,12,21,43,92,.467,11,33,.333,32,59,.542,.527,18,21,.857,15,39,54,29,7,6,13,20
69,69,2026-03-17,,MIA,W,136,106,,51,96,.531,17,42,.405,34,54,.630,.620,17,21,.810,10,38,48,32,11,3,14,25,36,89,.404,7,36,.194,29,53,.547,.444,27,34,.794,12,31,43,26,4,3,15,22
70,70,2026-03-19,,ORL,W,130,111,,42,80,.525,22,46,.478,20,34,.588,.663,24,27,.889,10,31,41,28,9,2,22,24,39,93,.419,14,42,.333,25,51,.490,.495,19,21,.905,12,19,31,24,11,4,14,23
71,71,2026-03-21,,MEM,W,124,101,,45,85,.529,18,43,.419,27,42,.643,.635,16,24,.667,13,36,49,25,7,4,18,17,35,86,.407,16,46,.348,19,40,.475,.500,15,19,.789,9,25,34,20,10,1,13,20
72,72,2026-03-24,,SAC,W,134,90,,48,94,.511,26,55,.473,22,39,.564,.649,12,16,.750,12,45,57,32,7,5,15,16,37,91,.407,9,28,.321,28,63,.444,.456,7,11,.636,10,25,35,27,4,3,12,15
73,73,2026-03-26,,NYK,W,114,103,,41,78,.526,16,41,.390,25,37,.676,.628,16,20,.800,12,31,43,28,5,4,18,19,42,82,.512,11,29,.379,31,53,.585,.579,8,9,.889,5,19,24,26,8,2,10,21
