,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
55,55,2026-02-19,@,GSW,W,121,110,,49,95,.516,17,40,.425,32,55,.582,.605,6,7,.857,13,41,54,36,7,6,13,6,43,96,.448,20,55,.364,23,41,.561,.552,4,8,.500,11,29,40,30,8,4,9,11
56,56,2026-02-22,@,LAL,W,111,89,,40,83,.482,14,36,.389,26,47,.553,.566,17,21,.810,9,41,50,29,6,5,14,19,34,87,.391,9,30,.300,25,57,.439,.443,12,18,.667,8,31,39,18,7,5,8,19
57,57,2026-02-24,@,PHO,W,97,81,,38,95,.400,13,47,.277,25,48,.521,.468,8,9,.889,22,39,61,24,4,7,11,13,29,79,.367,12,36,.333,17,43,.395,.443,11,13,.846,9,25,34,18,4,5,8,16
58,58,2026-02-25,@,DEN,L,84,103,,29,83,.349,12,43,.279,17,40,.425,.422,14,18,.778,9,39,48,18,4,8,14,20,39,93,.419,15,43,.349,24,50,.480,.500,10,18,.556,14,40,54,28,4,4,9,18
59,59,2026-02-27,,BRK,W,148,111,,52,78,.667,22,34,.647,30,44,.682,.808,22,27,.815,7,32,39,38,9,7,12,17,43,88,.489,14,34,.412,29,54,.537,.568,11,16,.688,9,16,25,29,7,2,12,25
60,60,2026-03-01,,PHI,W,114,98,,40,91,.440,16,49,.327,24,42,.571,.527,18,21,.857,19,40,59,27,4,7,15,19,35,88,.398,12,31,.387,23,57,.404,.466,16,22,.727,10,27,37,21,10,4,6,17
61,61,2026-03-02,@,MIL,W,108,81,,41,95,.432,20,50,.400,21,45,.467,.537,6,9,.667,19,35,54,31,7,6,11,16,27,74,.365,13,36,.361,14,38,.368,.453,14,19,.737,9,32,41,18,7,3,16,13
62,62,2026-03-04,,CHO,L,89,118,,30,79,.380,10,36,.278,20,43,.465,.443,19,20,.950,9,36,45,18,1,3,16,14,41,89,.461,19,49,.388,22,40,.550,.567,17,21,.810,11,32,43,26,10,4,5,19
63,63,2026-03-06,,DAL,W,120,100,,47,99,.475,16,48,.333,31,51,.608,.556,10,15,.667,14,44,58,29,6,10,10,10,38,93,.409,14,35,.400,24,58,.414,.484,10,12,.833,8,37,45,23,2,5,10,16
64,64,2026-03-08,@,CLE,W,109,98,,37,84,.440,15,38,.395,22,46,.478,.530,20,22,.909,10,39,49,25,2,0,12,20,35,86,.407,13,45,.289,22,41,.537,.483,15,21,.714,10,32,42,23,4,6,9,19
65,65,2026-03-10,@,SAS,L,116,125,,42,89,.472,19,51,.373,23,38,.605,.579,13,17,.765,5,32,37,27,6,4,8,18,44,85,.518,20,47,.426,24,38,.632,.635,17,25,.680,9,35,44,27,3,2,12,19
66,66,2026-03-12,@,OKC,L,102,104,,35,87,.402,13,42,.310,22,45,.489,.477,19,20,.950,12,32,44,20,8,4,13,18,40,84,.476,11,44,.250,29,40,.725,.542,13,17,.765,11,28,39,22,7,4,12,18
67,67,2026-03-14,,WAS,W,111,100,,41,93,.441,12,46,.261,29,47,.617,.505,17,19,.895,19,36,55,29,8,4,15,20,37,84,.440,15,39,.385,22,45,.489,.530,11,17,.647,9,29,38,28,9,4,15,18
68,68,2026-03-16,,PHO,W,120,112,,39,80,.488,17,40,.425,22,40,.550,.594,25,27,.926,7,31,38,31,7,3,14,21,37,83,.446,13,40,.325,24,43,.558,.524,25,29,.862,8,27,35,26,7,6,10,20
69,69,2026-03-18,,GSW,W,120,99,,44,92,.478,14,39,.359,30,53,.566,.554,18,19,.947,15,34,49,22,12,1,16,20,36,90,.400,10,43,.233,26,47,.553,.456,17,24,.708,14,25,39,26,12,3,14,17
70,70,2026-03-20,@,MEM,W,117,112,,40,89,.449,11,42,.262,29,47,.617,.511,26,30,.867,18,39,57,19,4,2,13,20,42,90,.467,14,43,.326,28,47,.596,.544,14,17,.824,7,28,35,24,7,3,9,23
71,71,2026-03-22,,MIN,L,92,102,,34,95,.358,9,33,.273,25,62,.403,.405,15,18,.833,13,40,53,17,9,2,11,13,39,91,.429,12,33,.364,27,58,.466,.495,12,15,.800,12,44,56,24,7,7,14,16
72,72,2026-03-25,,OKC,W,119,109,,38,81,.469,18,41,.439,20,40,.500,.580,25,29,.862,7,36,43,25,5,4,13,21,38,80,.475,12,37,.324,26,43,.605,.550,21,26,.808,4,31,35,17,7,3,7,22
73,73,2026-03-27,,ATL,W,109,102,,38,81,.469,14,35,.400,24,46,.522,.556,19,23,.826,13,39,52,26,0,4,16,20,34,87,.391,15,42,.357,19,45,.422,.477,19,24,.792,10,25,35,23,6,4,4,21
74,74,2026-03-29,@,CHO,W,114,99,,42,83,.506,14,34,.412,28,49,.571,.590,16,22,.727,8,31,39,23,6,3,7,18,36,83,.434,12,43,.279,24,40,.600,.506,15,19,.789,10,27,37,19,2,1,12,17
75,75,2026-03-30,@,ATL,L,102,112,,35,85,.412,14,37,.378,21,48,.438,.494,18,26,.692,10,38,48,18,6,7,15,18,43,92,.467,15,38,.395,28,54,.519,.549,11,15,.733,9,36,45,28,7,6,11,21
76,76,2026-04-01,@,MIA,W,147,129,,56,96,.583,21,44,.477,35,52,.673,.693,14,20,.700,11,37,48,34,5,8,9,17,44,95,.463,24,47,.511,20,48,.417,.589,17,23,.739,12,25,37,27,5,4,9,16
77,77,2026-04-03,@,MIL,W,133,101,,50,89,.562,17,37,.459,33,52,.635,.657,16,19,.842,10,38,48,33,7,4,9,13,35,83,.422,21,47,.447,14,36,.389,.548,10,13,.769,8,22,30,24,5,4,13,21
78,78,2026-04-05,,TOR,W,115,101,,47,88,.534,8,28,.286,39,60,.650,.580,13,16,.813,12,32,44,25,10,3,18,19,40,84,.476,8,20,.400,32,64,.500,.524,13,18,.722,6,25,31,31,6,4,15,16
79,79,2026-04-07,,CHO,W,113,102,,43,87,.494,17,42,.405,26,45,.578,.592,10,12,.833,13,32,45,22,6,2,14,13,38,88,.432,16,49,.327,22,39,.564,.523,10,13,.769,14,26,40,24,5,3,13,16
80,80,2026-04-09,@,NYK,L,106,112,,38,84,.452,16,43,.372,22,41,.537,.548,14,16,.875,13,29,42,23,4,1,11,16,43,80,.538,15,35,.429,28,45,.622,.631,11,15,.733,5,25,30,29,9,2,7,17
81,81,2026-04-10,,NOP,W,144,118,,52,96,.542,29,59,.492,23,37,.622,.693,11,15,.733,9,35,44,35,9,5,14,26,44,96,.458,9,32,.281,35,64,.547,.505,21,30,.700,14,30,44,22,6,3,13,19
82,82,2026-04-12,,ORL,W,113,108,,36,87,.414,19,50,.380,17,37,.459,.523,22,22,1.000,8,38,46,24,10,6,17,23,36,91,.396,12,43,.279,24,48,.500,.462,24,30,.800,14,36,50,22,6,5,19,19
,,,,,56-26,9418,8787,,3456,7398,.467,1268,3456,.367,2188,3942,.555,.553,1238,1534,.807,1025,2777,3802,2021,585,410,1014,1562,3145,7115,.442,1149,3208,.358,1996,3907,.511,.523,1348,1740,.775,890,2489,3379,2029,505,339,1018,1508
