,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
25,25,2025-12-14,,MIL,W,127,82,,45,85,.529,19,43,.442,26,42,.619,.641,18,19,.947,6,37,43,33,14,4,14,15,31,79,.392,8,35,.229,23,44,.523,.443,12,16,.750,7,30,37,20,8,1,20,18
26,26,2025-12-18,,MIA,L,95,106,,38,98,.388,11,49,.224,27,49,.551,.444,8,11,.727,15,34,49,24,7,7,13,17,41,89,.461,9,28,.321,32,61,.525,.511,15,19,.789,9,42,51,23,9,8,14,12
27,27,2025-12-21,,TOR,W,96,81,,35,75,.467,14,35,.400,21,40,.525,.560,12,16,.750,6,42,48,29,7,4,22,17,32,86,.372,10,36,.278,22,50,.440,.430,7,8,.875,9,30,39,23,6,5,15,19
28,28,2025-12-23,@,PHI,W,114,106,,35,82,.427,17,45,.378,18,37,.486,.530,27,33,.818,12,27,39,24,8,2,19,25,33,81,.407,7,27,.259,26,54,.481,.451,33,38,.868,13,30,43,15,12,5,17,26
29,29,2025-12-27,@,MIN,W,123,107,,46,84,.548,11,40,.275,35,44,.795,.613,20,21,.952,9,30,39,32,8,2,16,22,37,83,.446,13,31,.419,24,52,.462,.524,20,28,.714,10,24,34,27,8,1,11,20
30,30,2025-12-29,,GSW,L,107,120,,36,80,.450,18,42,.429,18,38,.474,.563,17,23,.739,9,25,34,22,10,5,15,27,41,77,.532,10,33,.303,31,44,.705,.597,28,34,.824,6,34,40,26,11,5,14,21
31,31,2026-01-01,,HOU,L,96,120,,34,76,.447,10,30,.333,24,46,.522,.513,18,30,.600,10,17,27,18,12,2,13,17,47,82,.573,12,29,.414,35,53,.660,.646,14,18,.778,13,32,45,28,8,7,14,22
32,32,2026-01-02,@,WAS,L,99,119,,34,86,.395,6,29,.207,28,57,.491,.430,25,28,.893,9,24,33,20,15,8,16,16,47,92,.511,11,29,.379,36,63,.571,.571,14,16,.875,13,38,51,24,10,9,19,20
33,33,2026-01-04,,DEN,W,127,115,,41,81,.506,14,33,.424,27,48,.563,.593,31,37,.838,12,32,44,29,7,5,10,22,41,85,.482,11,31,.355,30,54,.556,.547,22,28,.786,8,25,33,29,4,5,10,24
34,34,2026-01-07,,ORL,L,103,104,OT,36,86,.419,17,51,.333,19,35,.543,.517,14,22,.636,14,30,44,23,11,8,21,18,41,96,.427,9,33,.273,32,63,.508,.474,13,18,.722,20,35,55,28,12,4,18,19
35,35,2026-01-09,,LAC,L,105,121,,40,100,.400,15,47,.319,25,53,.472,.475,10,11,.909,19,20,39,26,12,4,12,18,45,76,.592,14,24,.583,31,52,.596,.684,17,19,.895,6,31,37,28,9,8,16,13
36,36,2026-01-11,@,MEM,L,98,103,,36,88,.409,18,48,.375,18,40,.450,.511,8,16,.500,13,30,43,25,10,6,10,17,37,88,.420,11,34,.324,26,54,.481,.483,18,18,1.000,16,38,54,27,6,7,15,15
37,37,2026-01-12,@,DAL,L,105,113,,39,86,.453,9,37,.243,30,49,.612,.506,18,20,.900,13,30,43,23,5,8,17,20,43,85,.506,15,34,.441,28,51,.549,.594,12,16,.750,9,28,37,28,9,3,14,16
38,38,2026-01-14,@,NOP,L,113,116,,45,95,.474,16,43,.372,29,52,.558,.558,7,12,.583,10,33,43,24,3,5,11,21,43,97,.443,11,33,.333,32,64,.500,.500,19,25,.760,18,35,53,24,5,7,9,11
39,39,2026-01-16,,CHI,W,112,109,,39,91,.429,19,40,.475,20,51,.392,.533,15,17,.882,11,36,47,30,7,4,14,17,41,86,.477,11,35,.314,30,51,.588,.541,16,20,.800,4,37,41,28,10,10,8,14
40,40,2026-01-18,@,CHI,L,102,124,,38,83,.458,16,37,.432,22,46,.478,.554,10,15,.667,7,31,38,33,4,4,11,15,49,94,.521,20,46,.435,29,48,.604,.628,6,9,.667,10,34,44,41,8,5,9,18
41,41,2026-01-19,,PHO,L,117,126,,41,81,.506,15,38,.395,26,43,.605,.599,20,21,.952,7,21,28,28,7,1,8,21,44,77,.571,20,39,.513,24,38,.632,.701,18,23,.783,7,28,35,29,4,4,13,17
42,42,2026-01-21,@,NYK,L,66,120,,23,79,.291,11,40,.275,12,39,.308,.361,9,13,.692,4,23,27,15,5,4,14,16,46,80,.575,16,32,.500,30,48,.625,.675,12,17,.706,8,48,56,28,10,6,12,18
43,43,2026-01-23,,BOS,L,126,130,2OT,42,95,.442,13,44,.295,29,51,.569,.511,29,34,.853,16,42,58,22,5,6,18,26,49,109,.450,22,51,.431,27,58,.466,.550,10,16,.625,9,32,41,35,8,5,9,28
44,44,2026-01-25,@,LAC,L,89,126,,29,85,.341,9,43,.209,20,42,.476,.394,22,25,.880,9,27,36,23,14,4,17,19,44,78,.564,12,25,.480,32,53,.604,.641,26,29,.897,7,44,51,20,12,5,19,15
45,45,2026-01-27,@,PHO,L,102,106,,38,75,.507,13,32,.406,25,43,.581,.593,13,19,.684,12,23,35,28,9,2,22,21,43,77,.558,5,20,.250,38,57,.667,.591,15,20,.750,10,22,32,22,12,5,15,18
46,46,2026-01-29,@,DEN,L,103,107,,37,85,.435,14,37,.378,23,48,.479,.518,15,18,.833,14,35,49,24,4,6,9,21,38,80,.475,13,26,.500,25,54,.463,.556,18,25,.720,7,34,41,24,6,4,7,14
47,47,2026-01-30,@,UTA,W,109,99,,39,82,.476,14,40,.350,25,42,.595,.561,17,28,.607,11,36,47,27,6,5,12,20,39,78,.500,10,29,.345,29,49,.592,.564,11,19,.579,6,27,33,26,6,4,11,23
48,48,2026-02-01,@,DET,L,77,130,,24,73,.329,7,31,.226,17,42,.405,.377,22,27,.815,10,33,43,17,3,2,25,19,48,85,.565,12,32,.375,36,53,.679,.635,22,29,.759,5,38,43,33,17,6,8,21
49,49,2026-02-03,,LAL,L,109,125,,45,94,.479,10,41,.244,35,53,.660,.532,9,14,.643,16,32,48,28,7,0,20,21,46,85,.541,7,31,.226,39,54,.722,.582,26,39,.667,10,31,41,25,14,0,12,13
50,50,2026-02-05,@,ORL,L,98,118,,34,82,.415,12,39,.308,22,43,.512,.488,18,29,.621,11,25,36,22,7,2,19,24,44,82,.537,9,32,.281,35,50,.700,.591,21,27,.778,9,33,42,32,14,11,17,21
51,51,2026-02-07,,WAS,W,127,113,,50,91,.549,13,38,.342,37,53,.698,.621,14,19,.737,13,32,45,36,8,3,13,22,37,79,.468,11,30,.367,26,49,.531,.538,28,30,.933,5,25,30,18,6,8,16,21
52,52,2026-02-09,,CHI,W,123,115,,45,88,.511,12,25,.480,33,63,.524,.580,21,31,.677,10,37,47,28,10,6,20,22,40,91,.440,10,36,.278,30,55,.545,.495,25,32,.781,12,27,39,20,13,8,18,22
53,53,2026-02-11,,IND,L,110,115,,38,85,.447,14,33,.424,24,52,.462,.529,20,26,.769,12,35,47,25,8,5,17,18,45,92,.489,15,42,.357,30,50,.600,.571,10,14,.714,9,33,42,29,11,5,12,18
54,54,2026-02-19,@,CLE,L,84,112,,30,87,.345,14,49,.286,16,38,.421,.425,10,16,.625,6,30,36,25,8,4,12,19,44,86,.512,12,35,.343,32,51,.627,.581,12,20,.600,8,48,56,27,7,7,14,13
