,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
39,39,2025-12-27,@,CAR,L,2,5,,20,4,1,2,0,38,6,0,1,0,37,28,56.9,29,66,30.5,25,52,32.5,25.0,94.0
40,40,2025-12-28,,TOR,W,3,2,OT,36,6,0,1,0,27,4,1,2,0,32,28,53.3,61,42,59.2,47,33,58.8,57.1,99.0
41,41,2025-12-31,,WPG,W,2,1,,19,6,1,3,0,24,6,0,3,0,24,23,51.1,31,43,41.9,21,28,42.9,55.6,101.7
42,42,2026-01-01,@,PIT,L,3,4,OT,27,6,2,8,0,31,16,1,3,0,27,30,47.4,36,51,41.4,25,36,41.0,48.4,93.3
43,43,2026-01-03,,PIT,L,1,4,,12,4,0,2,0,31,4,0,2,0,22,26,45.8,39,44,47.0,25,34,42.4,40.0,97.1
44,44,2026-01-05,@,OTT,W,5,3,,21,12,1,5,1,37,10,1,6,0,31,44,41.3,27,41,39.7,23,33,41.1,44.4,110.6
45,45,2026-01-08,,VAN,W,5,1,,25,4,1,3,0,24,6,1,2,0,24,29,45.3,44,59,42.7,32,34,48.5,39.4,111.6
46,46,2026-01-10,@,MTL,W,4,0,,24,2,1,5,0,27,10,0,1,0,30,22,57.7,40,48,45.5,25,36,41.0,34.6,111.8
47,47,2026-01-12,,CAR,W,4,3,OT,18,10,1,4,0,34,28,2,5,1,24,41,36.9,23,59,28.0,16,37,30.2,23.3,111.2
48,48,2026-01-13,@,BOS,L,0,3,,24,4,0,2,0,41,4,0,2,0,28,43,39.4,46,58,44.2,37,45,45.1,41.7,92.7
49,49,2026-01-16,,SJS,W,4,2,,25,2,1,2,0,22,4,0,1,0,26,23,53.1,56,38,59.6,42,24,63.6,66.7,100.4
50,50,2026-01-18,,OTT,W,4,3,OT,34,10,2,5,0,22,14,2,3,0,22,32,40.7,42,39,51.9,35,30,53.8,42.1,91.6
51,51,2026-01-21,@,TOR,W,2,1,OT,41,4,0,2,0,31,4,0,2,0,32,33,49.2,65,43,60.2,48,34,58.5,48.5,99.9
52,52,2026-01-22,@,MIN,L,3,4,OT,33,8,1,2,0,39,4,1,4,0,40,20,66.7,63,51,55.3,45,38,54.2,41.7,96.2
53,53,2026-01-24,@,WPG,W,5,1,,31,2,0,3,0,27,6,0,1,0,33,27,55.0,47,47,50.0,34,34,50.0,45.9,112.3
54,54,2026-01-27,,LAK,L,1,3,,28,6,0,4,0,22,8,1,3,0,37,17,68.5,50,42,54.3,36,30,54.5,38.5,86.4
