,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
39,39,2025-12-31,@,DAL,W,4,1,,31,4,0,2,0,29,4,0,2,0,28,20,58.3,53,41,56.4,41,32,56.2,50.0,110.3
40,40,2026-01-03,@,CBJ,L,1,5,,33,6,0,5,0,35,14,0,1,1,31,28,52.5,56,54,50.9,44,40,52.4,48.5,89.7
41,41,2026-01-06,,VAN,W,5,3,,20,8,0,1,1,37,2,1,4,0,30,26,53.6,41,42,49.4,29,35,45.3,44.8,108.6
42,42,2026-01-08,@,NYR,W,5,2,,21,6,1,2,1,32,4,0,3,0,20,31,39.2,35,52,40.2,24,34,41.4,36.0,109.1
43,43,2026-01-10,,ANA,W,5,3,,32,13,0,2,0,36,13,0,2,0,31,36,46.3,41,62,39.8,33,44,42.9,37.8,107.7
44,44,2026-01-12,,FLA,L,3,4,,23,7,0,2,0,32,9,1,1,0,31,29,51.7,47,61,43.5,36,45,44.4,33.3,97.5
45,45,2026-01-14,,PHI,W,5,2,,15,10,2,6,1,22,12,1,5,0,28,31,47.5,27,34,44.3,22,29,43.1,51.7,115.9
46,46,2026-01-15,,MTL,W,5,3,,27,10,2,4,0,23,12,2,3,0,23,33,41.1,41,33,55.4,28,28,50.0,71.4,97.0
47,47,2026-01-17,,MIN,L,4,5,OT,24,15,1,4,0,35,15,1,4,0,26,32,44.8,37,50,42.5,29,36,44.6,51.9,103.4
48,48,2026-01-19,@,CAR,L,1,2,,18,8,0,1,0,29,6,1,2,0,22,26,45.8,29,44,39.7,24,33,42.1,45.8,100.2
49,49,2026-01-20,@,NSH,W,5,3,,33,6,0,1,0,34,4,0,2,0,27,33,45.0,44,62,41.5,36,45,44.4,51.4,104.1
50,50,2026-01-22,@,MTL,W,4,2,,17,10,0,2,1,34,8,0,3,0,20,36,35.7,35,53,39.8,22,39,36.1,35.7,109.5
51,51,2026-01-24,@,NYI,W,5,0,,21,8,0,2,0,26,6,0,3,0,13,37,26.0,42,39,51.9,30,33,47.6,44.0,120.0
52,52,2026-01-27,@,TOR,W,7,4,,31,0,1,2,0,23,4,0,0,0,17,35,32.7,53,49,52.0,40,30,57.1,50.0,100.5
53,53,2026-01-29,,LAK,W,4,1,,32,28,1,3,0,38,30,1,2,0,35,21,62.5,45,59,43.3,33,46,41.8,39.4,104.8
54,54,2026-01-31,,MTL,L,2,4,,38,6,1,4,0,31,8,1,3,0,17,40,29.8,62,36,63.3,44,33,57.1,70.8,87.1
55,55,2026-02-02,@,FLA,W,5,3,,20,8,1,3,0,41,6,1,4,0,30,31,49.2,35,54,39.3,25,40,38.5,24.0,121.3
56,56,2026-02-03,@,TBL,L,3,4,OT,26,4,1,3,0,35,6,1,2,0,30,31,49.2,29,44,39.7,22,36,37.9,50.0,104.0
57,57,2026-02-05,,PIT,L,2,5,,28,11,1,5,0,32,15,0,3,1,36,30,54.5,41,39,51.3,36,32,52.9,45.2,89.4
58,58,2026-02-25,@,NJD,W,2,1,,30,9,0,3,0,28,11,0,2,0,25,29,46.3,55,36,60.4,43,30,58.9,44.4,103.6
59,59,2026-02-27,@,FLA,W,3,2,,39,8,1,3,0,29,6,1,4,0,25,42,37.3,58,42,58.0,44,32,57.9,48.4,96.2
60,60,2026-02-28,@,TBL,W,6,2,,35,12,1,5,0,38,28,0,3,0,31,33,48.4,35,53,39.8,30,43,41.1,29.2,119.7
61,61,2026-03-03,,VEG,W,3,2,,28,2,0,1,0,29,2,0,1,0,34,27,55.7,54,52,50.9,43,43,50.0,50.0,104.6
62,62,2026-03-05,@,PIT,W,5,1,,26,12,1,6,2,28,25,0,5,1,28,19,59.6,34,34,50.0,30,28,51.7,42.9,104.1
63,63,2026-03-07,,NSH,W,3,2,,24,8,0,2,0,25,6,1,3,0,24,38,38.7,51,40,56.0,40,24,62.5,58.1,105.6
64,64,2026-03-08,,TBL,W,8,7,,42,45,4,7,1,28,57,1,2,0,32,32,50.0,42,43,49.4,35,33,51.5,78.3,86.1
65,65,2026-03-10,,SJS,W,6,3,,26,18,0,1,0,20,24,1,3,0,28,27,50.9,52,42,55.3,38,30,55.9,53.6,105.0
66,66,2026-03-12,,WSH,L,1,2,,30,4,0,2,0,22,4,0,2,0,27,18,60.0,53,39,57.6,39,32,54.9,50.0,94.9
67,67,2026-03-14,,TOR,W,3,2,SO,33,15,1,4,0,18,19,0,2,0,24,27,47.1,61,32,65.6,42,25,62.7,64.0,92.9
68,68,2026-03-17,@,VEG,W,2,0,,25,8,0,2,0,29,6,0,3,0,29,30,49.2,40,51,44.0,30,39,43.5,41.2,105.0
69,69,2026-03-19,@,SJS,W,5,0,,16,4,0,2,0,23,4,0,2,0,24,24,50.0,38,44,46.3,23,30,43.4,46.4,138.5
70,70,2026-03-21,@,LAK,W,4,1,,33,6,1,1,0,27,2,1,3,0,19,36,34.5,49,42,53.8,36,29,55.4,62.5,103.4
71,71,2026-03-22,@,ANA,L,5,6,OT,29,8,0,3,0,33,6,3,4,0,38,25,60.3,55,52,51.4,44,44,50.0,48.5,101.0
72,72,2026-03-25,,BOS,L,3,4,OT,25,8,2,3,0,31,10,0,2,0,29,33,46.8,43,53,44.8,28,41,40.6,38.7,92.7
73,73,2026-03-27,,DET,L,2,5,,30,14,0,3,0,20,8,2,6,0,19,24,44.2,45,19,70.3,35,17,67.3,64.3,83.7
74,74,2026-03-28,,SEA,W,3,2,SO,36,13,1,3,0,34,11,0,4,0,31,28,52.5,58,45,56.3,42,39,51.9,63.3,97.7
75,75,2026-03-31,,NYI,W,4,3,,33,13,2,4,0,28,15,1,3,0,27,32,45.8,51,34,60.0,43,21,67.2,48.0,93.3
76,76,2026-04-02,@,OTT,L,1,4,,22,19,0,2,0,24,9,0,2,0,29,28,50.9,39,46,45.9,30,31,49.2,40.6,88.9
77,77,2026-04-04,@,WSH,L,2,6,,39,14,0,5,0,28,20,0,2,1,33,31,51.6,44,45,49.4,37,39,48.7,41.9,85.0
78,78,2026-04-06,,TBL,W,4,2,,30,14,0,4,0,25,12,1,5,0,28,31,47.5,33,36,47.8,27,30,47.4,44.0,109.6
79,79,2026-04-08,@,NYR,W,5,3,,27,6,0,4,0,20,8,2,3,0,23,29,44.2,41,38,51.9,31,22,58.5,56.5,103.2
80,80,2026-04-09,,CBJ,W,5,0,,24,8,0,2,0,37,4,0,4,0,24,33,42.1,40,54,42.6,30,39,43.5,35.7,118.2
81,81,2026-04-13,@,CHI,W,5,1,,26,10,0,2,0,16,4,0,5,1,31,25,55.4,44,23,65.7,37,16,69.8,53.1,114.6
82,82,2026-04-15,,DAL,L,3,4,SO,24,6,0,3,1,28,6,1,3,0,28,24,53.8,45,47,48.9,31,36,46.3,52.0,100.4
,,,,,50-23-9,288,241,,2307,797,48,246,11,2381,825,42,232,6,2149,2533,45.9,3691,3704,49.9,2754,2784,49.7,47.6,100.6
