,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
39,39,2025-12-31,@,ANA,W,4,3,OT,29,6,1,3,0,28,6,1,3,0,21,34,38.2,42,44,48.8,28,35,44.4,66.7,99.8
40,40,2026-01-01,@,LAK,W,5,3,,24,11,1,2,0,20,9,2,3,0,24,24,50.0,52,41,55.9,32,30,51.6,55.6,100.8
41,41,2026-01-03,@,SJS,W,7,3,,26,16,3,5,0,22,30,1,3,0,26,33,44.1,50,31,61.7,34,26,56.7,68.0,106.4
42,42,2026-01-06,,COL,W,4,2,,28,18,1,2,0,33,6,0,2,0,17,38,30.9,53,44,54.6,38,30,55.9,53.8,102.3
43,43,2026-01-10,@,PHI,W,7,2,,23,9,0,2,0,20,9,1,2,0,29,17,63.0,45,26,63.4,31,21,59.6,61.9,121.8
44,44,2026-01-12,@,PHI,W,5,1,,26,32,2,4,0,21,46,0,2,0,17,31,35.4,31,34,47.7,17,27,38.6,33.3,120.2
45,45,2026-01-13,@,PIT,W,2,1,SO,31,33,0,3,0,27,14,0,3,0,19,25,43.2,47,32,59.5,33,26,55.9,33.3,100.3
46,46,2026-01-16,@,STL,L,2,3,SO,36,4,2,3,0,21,6,0,2,0,35,30,53.8,59,31,65.6,49,24,67.1,66.7,90.5
47,47,2026-01-18,@,DAL,W,4,1,,26,6,0,2,0,20,6,0,2,0,19,29,39.6,46,28,62.2,33,19,63.5,56.5,108.6
48,48,2026-01-20,,SJS,W,4,1,,20,2,0,1,0,23,2,0,1,0,22,28,44.0,61,37,62.2,43,24,64.2,70.0,111.4
