,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Faceoffs,Faceoffs,Faceoffs,Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5),Advanced (5-on-5)
Rk,Gtm,Date,,Opp,Rslt,GF,GA,OT,SOG,PIM,PPG,PPO,SHG,SOG,PIM,PPG,PPO,SHG,FOW,FOL,FO%,CF,CA,CF%,FF,FA,FF%,oZS%,PDO
39,39,2026-01-01,,WSH,W,4,3,,32,17,0,4,0,29,17,1,4,0,28,29,49.1,45,37,54.9,32,25,56.1,45.0,105.7
40,40,2026-01-03,,WPG,W,4,2,,27,18,2,5,0,23,10,0,4,1,23,33,41.1,32,43,42.7,27,29,48.2,45.0,100.8
41,41,2026-01-05,,DET,L,3,5,,37,10,1,6,0,21,12,1,5,1,44,31,58.7,41,27,60.3,33,23,58.9,55.6,84.9
42,42,2026-01-07,@,UTA,L,1,3,,33,8,0,3,0,21,6,0,4,0,34,24,58.6,44,40,52.4,27,29,48.2,42.3,91.6
43,43,2026-01-08,@,COL,L,2,8,,31,42,0,3,1,34,16,2,6,0,28,33,45.9,57,45,55.9,36,33,52.2,54.8,80.3
44,44,2026-01-10,,FLA,L,2,3,,19,10,0,5,0,21,12,2,4,0,33,28,54.1,32,31,50.8,26,24,52.0,63.6,94.8
45,45,2026-01-13,,VAN,W,2,1,,40,2,0,2,0,20,4,0,1,0,27,20,57.4,62,44,58.5,45,30,60.0,67.9,101.3
46,46,2026-01-14,@,NYR,W,8,4,,30,2,1,3,0,22,6,1,1,0,18,35,34.0,51,42,54.8,31,28,52.5,42.9,107.9
47,47,2026-01-17,,MTL,L,5,6,OT,34,12,2,3,0,19,8,2,5,0,28,32,46.7,56,30,65.1,35,19,64.8,68.0,80.4
48,48,2026-01-18,@,DET,L,3,4,OT,22,14,2,3,0,34,10,2,5,0,32,22,59.3,40,42,48.8,30,35,46.2,57.9,94.5
49,49,2026-01-20,@,CBJ,W,4,1,,21,8,0,3,0,22,8,0,3,0,31,21,59.6,35,35,50.0,26,24,52.0,65.0,116.9
50,50,2026-01-22,@,NSH,L,3,5,,26,12,0,3,0,27,8,2,5,0,38,15,71.7,37,46,44.6,28,37,43.1,54.2,95.8
51,51,2026-01-24,,CAR,L,1,4,,36,8,0,4,0,19,18,1,4,0,38,18,67.9,45,37,54.9,34,23,59.6,64.0,82.8
52,52,2026-01-25,,VEG,W,7,1,,31,4,0,1,0,20,2,0,2,0,23,28,45.1,66,43,60.6,48,24,66.7,44.8,120.0
53,53,2026-01-28,,COL,W,5,2,,23,0,0,3,0,18,6,0,0,0,19,31,38.0,30,39,43.5,23,31,42.6,42.1,108.9
54,54,2026-01-31,,NJD,W,4,1,,34,12,2,3,0,27,8,0,5,0,29,38,43.3,46,43,51.7,36,29,55.4,41.0,99.9
55,55,2026-02-02,@,PIT,W,3,2,,31,2,0,5,0,16,10,0,1,0,27,23,54.0,48,26,64.9,34,20,63.0,50.0,99.5
56,56,2026-02-03,@,CAR,L,3,4,,27,4,2,3,0,19,6,1,2,0,33,33,50.0,49,45,52.1,40,29,58.0,32.4,83.5
57,57,2026-02-05,@,PHI,W,2,1,OT,27,2,0,1,0,16,2,0,1,0,25,21,54.3,42,48,46.7,36,32,52.9,46.9,97.8
58,58,2026-02-26,,DET,L,1,2,OT,27,23,1,2,0,20,13,1,2,0,40,25,61.5,53,52,50.5,35,27,56.5,42.9,90.0
59,59,2026-02-28,@,TOR,W,5,2,,40,15,1,3,0,23,27,0,2,0,24,25,49.0,58,35,62.4,48,30,61.5,60.0,104.2
60,60,2026-03-03,@,EDM,L,4,5,OT,21,11,1,3,0,37,11,2,3,0,13,28,31.7,40,54,42.6,28,46,37.8,29.4,103.2
61,61,2026-03-05,@,CGY,W,4,1,,37,6,1,4,1,20,8,0,3,0,32,25,56.1,57,38,60.0,40,27,59.7,61.3,99.0
62,62,2026-03-07,@,SEA,W,7,4,,37,23,0,2,0,21,6,1,5,0,37,26,58.7,59,36,62.1,45,29,60.8,75.9,104.3
63,63,2026-03-09,@,VAN,W,2,0,,24,6,0,4,0,16,8,0,3,0,18,23,43.9,34,28,54.8,25,21,54.3,37.5,105.9
64,64,2026-03-11,,MTL,L,2,3,,34,6,1,3,0,23,8,1,2,0,27,26,50.9,50,44,53.2,30,37,44.8,54.8,91.5
65,65,2026-03-14,,ANA,W,2,0,,28,8,0,4,1,24,10,0,3,0,22,33,40.0,44,38,53.7,33,27,55.0,56.5,105.3
66,66,2026-03-15,,SJS,W,7,4,,24,4,2,3,0,23,6,0,2,0,32,22,59.3,55,40,57.9,40,29,58.0,59.3,102.6
67,67,2026-03-18,@,WSH,L,1,4,,35,4,0,3,0,25,6,1,2,0,37,18,67.3,55,45,55.0,39,35,52.7,50.0,84.0
68,68,2026-03-19,,NYI,W,3,2,,27,18,0,2,1,19,14,0,4,0,27,24,52.9,44,38,53.7,34,22,60.7,54.5,100.0
69,69,2026-03-21,,TOR,W,5,2,,44,8,1,4,0,14,10,0,3,0,33,26,55.9,56,23,70.9,51,13,79.7,72.7,97.5
70,70,2026-03-23,@,NYR,W,2,1,,33,8,1,7,0,10,16,0,3,0,16,26,38.1,33,27,55.0,26,19,57.8,58.3,95.0
71,71,2026-03-24,@,DET,W,3,2,,21,15,1,2,0,35,11,1,4,0,31,23,57.4,42,45,48.3,28,37,43.1,37.0,106.1
72,72,2026-03-26,,PIT,L,3,4,SO,29,4,1,2,0,40,4,1,2,0,36,16,69.2,50,64,43.9,36,52,40.9,57.1,102.5
73,73,2026-03-28,@,TBL,L,2,4,,28,10,0,2,0,27,6,0,4,0,35,29,54.7,44,61,41.9,34,40,45.9,42.4,93.9
74,74,2026-03-31,@,FLA,L,3,6,,26,6,0,5,0,29,23,2,3,0,34,28,54.8,36,39,48.0,29,33,46.8,52.0,96.0
75,75,2026-04-02,,BUF,W,4,1,,24,9,0,2,0,22,19,0,2,0,28,29,49.1,46,39,54.1,31,30,50.8,59.4,106.6
76,76,2026-04-04,,MIN,L,1,4,,34,14,0,2,0,23,16,0,1,0,34,26,56.7,53,41,56.4,41,31,56.9,51.4,85.9
77,77,2026-04-05,,CAR,W,6,3,,31,4,2,2,0,28,4,1,2,0,39,25,60.9,46,51,47.4,34,32,51.5,61.3,102.9
78,78,2026-04-07,,TBL,W,6,2,,32,6,2,3,1,30,8,0,2,0,25,39,39.1,49,53,48.0,40,42,48.8,48.8,104.9
79,79,2026-04-09,,FLA,W,5,1,,26,2,1,1,0,23,2,0,1,0,33,26,55.9,56,45,55.4,41,35,53.9,48.6,108.7
80,80,2026-04-11,@,NYI,W,3,0,,16,15,1,5,1,23,15,0,5,0,28,23,54.9,26,37,41.3,16,26,38.1,22.2,100.0
81,81,2026-04-12,@,NJD,L,3,4,OT,30,8,1,4,0,30,8,1,4,2,32,23,58.2,33,35,48.5,28,27,50.9,38.9,96.2
82,82,2026-04-15,,TOR,W,3,1,,38,4,2,3,0,20,6,0,2,0,31,23,57.4,53,36,59.6,43,31,58.1,46.4,95.0
,,,,,44-27-11,278,246,,2369,790,63,263,8,2001,836,57,236,6,2513,2097,54.5,3780,3306,53.3,2769,2388,53.7,51.2,97.8
